Date,Athlete,Rule Set,Place,Prize Money
08/03/2026,Diego Silva,Jiu-Jitsu,Top 10,189
08/03/2026,Chen Wei,Jiu-Jitsu,Gold,8437
08/03/2026,Mateo García,Judo,Not Placed,0
08/03/2026,Lars Johansson,Judo,Silver,2544
08/03/2026,Aisha Khan,Judo,Silver,3107
14/03/2026,Lars Johansson,Jiu-Jitsu,Gold,12669
14/03/2026,Diego Silva,Judo,Silver,6999
14/03/2026,Hiroshi Tanaka,Judo,Silver,5360
14/03/2026,Emily Connor,Jiu-Jitsu,Top 10,430
14/03/2026,Aisha Khan,Jiu-Jitsu,Top 10,162
14/03/2026,Fatima Al-Mansouri,Jiu-Jitsu,Bronze,2742
14/03/2026,Chen Wei,Jiu-Jitsu,Not Placed,0
14/03/2026,Sofia Rossi,Jiu-Jitsu,Top 10,484
15/03/2026,Chen Wei,Jiu-Jitsu,Bronze,2280
15/03/2026,Kwame Mensah,Judo,Top 10,437
15/03/2026,Emily Connor,Judo,Silver,1640
15/03/2026,Sofia Rossi,Jiu-Jitsu,Not Placed,0
15/03/2026,Diego Silva,Jiu-Jitsu,Silver,1616
15/03/2026,Aisha Khan,Judo,Silver,5929
21/03/2026,Chen Wei,Jiu-Jitsu,Silver,5473
21/03/2026,Lars Johansson,Jiu-Jitsu,Not Placed,0
21/03/2026,Sofia Rossi,Judo,Bronze,1824
21/03/2026,Hiroshi Tanaka,Jiu-Jitsu,Bronze,2719
21/03/2026,Aisha Khan,Judo,Silver,4202
21/03/2026,Mateo García,Judo,Top 10,279
21/03/2026,Emily Connor,Jiu-Jitsu,Not Placed,0
21/03/2026,Diego Silva,Jiu-Jitsu,Not Placed,0
22/03/2026,Fatima Al-Mansouri,Judo,Not Placed,0
22/03/2026,Mateo García,Judo,Not Placed,0
22/03/2026,Chen Wei,Judo,Top 10,465
22/03/2026,Hiroshi Tanaka,Judo,Not Placed,0
22/03/2026,Sofia Rossi,Jiu-Jitsu,Gold,11953
22/03/2026,Emily Connor,Judo,Bronze,2835
22/03/2026,Lars Johansson,Judo,Not Placed,0
22/03/2026,Aisha Khan,Judo,Bronze,2420
22/03/2026,Diego Silva,Judo,Not Placed,0
22/03/2026,Kwame Mensah,Judo,Bronze,2977
28/03/2026,Diego Silva,Jiu-Jitsu,Not Placed,0
28/03/2026,Emily Connor,Judo,Top 10,316
28/03/2026,Chen Wei,Judo,Bronze,2790
29/03/2026,Kwame Mensah,Jiu-Jitsu,Silver,7019
29/03/2026,Aisha Khan,Jiu-Jitsu,Not Placed,0
29/03/2026,Mateo García,Jiu-Jitsu,Silver,4496
29/03/2026,Chen Wei,Jiu-Jitsu,Not Placed,0
29/03/2026,Fatima Al-Mansouri,Judo,Silver,4605
04/04/2026,Sofia Rossi,Jiu-Jitsu,Bronze,2788
04/04/2026,Hiroshi Tanaka,Jiu-Jitsu,Gold,7121
04/04/2026,Diego Silva,Judo,Silver,3657
04/04/2026,Fatima Al-Mansouri,Judo,Bronze,1549
05/04/2026,Mateo García,Judo,Not Placed,0
05/04/2026,Fatima Al-Mansouri,Jiu-Jitsu,Bronze,1249
05/04/2026,Lars Johansson,Judo,Not Placed,0
05/04/2026,Diego Silva,Jiu-Jitsu,Gold,11403
05/04/2026,Aisha Khan,Judo,Gold,14596
05/04/2026,Chen Wei,Judo,Not Placed,0
05/04/2026,Hiroshi Tanaka,Jiu-Jitsu,Not Placed,0
05/04/2026,Emily Connor,Judo,Top 10,474
05/04/2026,Kwame Mensah,Judo,Top 10,354
11/04/2026,Aisha Khan,Judo,Bronze,2617
11/04/2026,Chen Wei,Jiu-Jitsu,Not Placed,0
11/04/2026,Sofia Rossi,Judo,Bronze,2658
11/04/2026,Diego Silva,Judo,Silver,6376
12/04/2026,Sofia Rossi,Jiu-Jitsu,Top 10,140
12/04/2026,Chen Wei,Judo,Top 10,222
12/04/2026,Emily Connor,Jiu-Jitsu,Gold,11276
12/04/2026,Aisha Khan,Judo,Silver,1845
12/04/2026,Mateo García,Jiu-Jitsu,Silver,5139
12/04/2026,Hiroshi Tanaka,Judo,Gold,11958
12/04/2026,Kwame Mensah,Judo,Bronze,2603
12/04/2026,Fatima Al-Mansouri,Jiu-Jitsu,Top 10,251
18/04/2026,Emily Connor,Judo,Silver,6357
18/04/2026,Kwame Mensah,Judo,Silver,3620
18/04/2026,Aisha Khan,Jiu-Jitsu,Top 10,150
18/04/2026,Lars Johansson,Judo,Silver,7290
18/04/2026,Chen Wei,Judo,Silver,5617
18/04/2026,Fatima Al-Mansouri,Jiu-Jitsu,Gold,5251
18/04/2026,Mateo García,Judo,Not Placed,0
18/04/2026,Diego Silva,Jiu-Jitsu,Bronze,1087
19/04/2026,Emily Connor,Judo,Bronze,2339
19/04/2026,Aisha Khan,Judo,Not Placed,0
19/04/2026,Mateo García,Jiu-Jitsu,Not Placed,0
19/04/2026,Lars Johansson,Jiu-Jitsu,Top 10,198
19/04/2026,Hiroshi Tanaka,Judo,Not Placed,0
19/04/2026,Kwame Mensah,Judo,Gold,7624
19/04/2026,Diego Silva,Jiu-Jitsu,Not Placed,0
19/04/2026,Fatima Al-Mansouri,Jiu-Jitsu,Silver,4022
25/04/2026,Emily Connor,Jiu-Jitsu,Bronze,1221
25/04/2026,Kwame Mensah,Jiu-Jitsu,Silver,4876
25/04/2026,Lars Johansson,Jiu-Jitsu,Not Placed,0
25/04/2026,Sofia Rossi,Judo,Not Placed,0
25/04/2026,Chen Wei,Judo,Top 10,452
26/04/2026,Hiroshi Tanaka,Judo,Top 10,154
26/04/2026,Sofia Rossi,Judo,Not Placed,0
26/04/2026,Mateo García,Judo,Silver,5217
26/04/2026,Aisha Khan,Jiu-Jitsu,Top 10,330
26/04/2026,Lars Johansson,Jiu-Jitsu,Silver,6404
26/04/2026,Fatima Al-Mansouri,Judo,Not Placed,0
